Name|Start_Year|End_Year|Latitude|Longitude|Info|Type|Category
Ming Dynasty|1368|1644|39.9042|116.4074|Chinese dynasty known for maritime expeditions, cultural production, centralized administration, and major architectural projects|Polity|Dynasty
Qing Dynasty|1644|1912|39.9042|116.4074|Last imperial dynasty of China, founded by the Manchus and governing a large multiethnic empire|Polity|Dynasty
Jōmon Culture|-14000|-300|35.6762|139.6503|Ancient culture of the Japanese archipelago known for early sedentary settlements, distinctive cord-marked pottery, fishing, hunting, gathering, and complex material culture|Culture|Archaeological Culture
Yayoi Culture|-300|300|35.6762|139.6503|Culture associated with the introduction and expansion of wet-rice agriculture, metallurgy, and new settlement patterns in the Japanese archipelago|Culture|Archaeological Culture
Kofun Period|250|538|34.6851|135.8050|Period of early Japanese state formation characterized by large keyhole-shaped burial mounds and the emergence of powerful ruling elites|Culture|Archaeological Culture
Heian Period|794|1185|35.0116|135.7681|Period when Kyoto became the imperial capital and Japanese court culture, literature, and Buddhism flourished|Culture|Historical Period
Gojoseon|-2333|-108|37.5665|126.9780|Ancient Korean polity traditionally regarded as an early Korean state; historical dates and the legendary foundation tradition are debated|Polity|Ancient Kingdom
Three Kingdoms of Korea|-57|668|37.5665|126.9780|Period dominated by the Korean kingdoms of Goguryeo, Baekje, and Silla, characterized by state formation, warfare, Buddhism, and cultural exchange with China and Japan|Polity|Kingdoms
Silla|-57|935|35.8562|128.6014|Korean kingdom that eventually unified most of the Korean Peninsula and became an important center of Buddhist art and culture|Polity|Kingdom
Goryeo|918|1392|37.5665|126.9780|Korean dynasty from which the modern name Korea derives, known for Buddhism, celadon ceramics, printing, and international trade|Polity|Dynasty
Joseon|1392|1897|37.5665|126.9780|Long-lived Korean dynasty characterized by Confucian state institutions, scholarship, literature, and major scientific and technological developments|Polity|Dynasty
Funan|100|550|10.6000|104.0000|Early Southeast Asian polity centered in the Mekong region and deeply involved in maritime and overland trade between India, China, and Southeast Asia|Polity|Kingdom
Srivijaya|650|1377|-2.9909|104.7566|Maritime Southeast Asian empire centered on Sumatra that controlled important Indian Ocean and Southeast Asian trade routes and became a major Buddhist center|Polity|Empire
Khmer Empire|802|1431|13.4125|103.8670|Powerful Southeast Asian empire centered in Cambodia and famous for Angkor, monumental architecture, irrigation systems, and Hindu and Buddhist traditions|Polity|Empire
Majapahit|1293|1527|-7.7956|110.3695|Powerful Javanese kingdom that developed extensive political and commercial influence across the Indonesian archipelago|Polity|Kingdom
Pagan Kingdom|849|1297|21.1717|94.8585|Early Burmese kingdom centered at Bagan and known for extensive Buddhist temple construction and cultural development|Polity|Kingdom
Kingdom of Kush|-1070|350|16.9387|33.9700|Ancient Nubian kingdom centered along the Nile south of Egypt, with major capitals at Napata and Meroë|Polity|Kingdom
Nok Culture|-1500|500|9.6000|8.5000|Archaeological culture of central Nigeria known for sophisticated terracotta sculpture and early ironworking|Culture|Archaeological Culture
Kingdom of Aksum|-100|940|14.1300|39.0100|Major kingdom of the Horn of Africa known for long-distance trade, monumental stelae, coinage, and early Christianity|Polity|Kingdom
Great Zimbabwe|1100|1450|-20.2670|30.9330|Major stone-built center of southern Africa associated with regional trade networks extending toward the Indian Ocean|Place|Archaeological Site
Mali Empire|1235|1645|12.6500|-8.0000|West African empire that controlled major trans-Saharan trade routes and became renowned for gold, scholarship, and cities such as Timbuktu|Polity|Empire
Songhai Empire|1464|1591|16.7666|-3.0026|Major West African empire centered along the Niger River and associated with commerce, Islamic scholarship, Gao, and Timbuktu|Polity|Empire
Sogdian Civilization|-600|1000|39.6542|66.9597|Iranian-speaking civilization centered in Central Asia whose merchants played a major role in Silk Road trade connecting China, India, Persia, and the Mediterranean world|Civilization|Central Asian
Parthian Empire|-247|224|36.2600|59.6168|Iranian empire that controlled important territories and trade routes between the Mediterranean, Persia, Central Asia, and South Asia|Polity|Empire
Sasanian Empire|224|651|29.6103|52.5311|Persian empire that became a major political and cultural power between the Roman world, Central Asia, and India|Polity|Empire
Göktürk Khaganate|552|744|47.0000|70.0000|Major Turkic steppe empire that controlled extensive territories across Central Asia and played an important role in Silk Road networks|Polity|Khaganate
Timurid Empire|1370|1507|39.6542|66.9597|Central Asian empire founded by Timur and centered initially around Transoxiana, becoming an important center of Persianate culture, architecture, mathematics, and astronomy|Polity|Empire
Samarkand|-500|2026|39.6542|66.9597|Major Silk Road city in Central Asia and an important center of trade, scholarship, and culture|Place|Historical City
Bukhara|-500|2026|39.7681|64.4556|Historic Silk Road city known for commerce, Islamic scholarship, and cultural exchange|Place|Historical City
Chang'an|-200|907|34.3416|108.9398|Capital of several Chinese dynasties and eastern terminus of major Silk Road routes|Place|Historical City
Zhang Qian|-164|-113|34.2667|108.9480|Han dynasty diplomat and explorer whose journeys to Central Asia helped establish the foundations of the Silk Road trade networks|Person|Explorer
Silk Road|-130|1453|41.2995|69.2401|Network of overland and maritime trade routes linking China, Central Asia, India, Persia, the Middle East, and the Mediterranean, facilitating exchange of goods, religions, technologies, languages, and ideas across Eurasia|Trade Network|Trade Route
Caral|-3000|-1800|-10.8925|-77.5208|Major settlement of the Norte Chico civilization in coastal Peru and one of the oldest known urban centers in the Americas|Place|Archaeological Site
Chavín Culture|-900|-200|-9.5944|-77.1783|Early Andean cultural tradition centered around Chavín de Huántar, known for monumental architecture, distinctive stone sculpture, religious iconography, and long-distance cultural influence|Culture|Archaeological Culture
Chavín de Huántar|-900|-200|-9.5944|-77.1783|Major ceremonial center in the Peruvian Andes associated with the Chavín cultural tradition|Place|Archaeological Site
Nazca Culture|-100|800|-14.7350|-75.1300|Ancient Andean culture of southern Peru known for elaborate ceramics, textiles, monumental geoglyphs known as the Nazca Lines, and sophisticated irrigation systems|Culture|Archaeological Culture
Moche Civilization|100|700|-7.8450|-79.1469|Powerful civilization of northern coastal Peru known for monumental pyramids, sophisticated irrigation, metallurgy, ceramics, and detailed representations of everyday and ritual life|Civilization|Andean Civilization
Tiwanaku Civilization|500|1000|-16.5547|-68.6733|Major highland Andean civilization centered near Lake Titicaca, known for monumental architecture, agricultural innovation, long-distance exchange, and regional political influence|Civilization|Andean Civilization
Wari Civilization|500|1000|-13.1631|-72.5450|Major highland civilization centered in the Peruvian Andes that developed extensive administrative centers, road networks, agricultural systems, and regional political influence|Civilization|Andean Civilization
Chimú Kingdom|900|1470|-8.1100|-79.0750|Powerful coastal Andean kingdom centered in northern Peru and known for irrigation, craft production, and the enormous urban center of Chan Chan|Polity|Kingdom
Chan Chan|900|1470|-8.1090|-79.0750|Massive adobe urban center and capital of the Chimú Kingdom, regarded as one of the largest pre-Columbian cities in South America|Place|Archaeological Site
Inca Empire|1438|1533|-13.5167|-71.9781|Largest empire in pre-Columbian South America, centered in the Andes and connected by an extensive road system; incorporated diverse peoples across Peru, Bolivia, Ecuador, Chile, Argentina, and Colombia|Polity|Empire
Cusco|1200|1533|-13.5167|-71.9781|Capital and principal political and religious center of the Inca Empire|Place|Historical City
Machu Picchu|1450|1572|-13.1631|-72.5450|Inca royal and ceremonial site in the Andes known for monumental stone architecture and its dramatic mountain setting|Place|Archaeological Site
Mapuche Culture|1000|2026|-38.7359|-72.5904|Indigenous culture of south-central Chile and adjacent Argentina known for strong political autonomy, agriculture, craft traditions, and prolonged resistance to Inca and later Spanish expansion|Culture|Indigenous Culture
Rapa Nui Culture|1200|2026|-27.1127|-109.3497|Polynesian culture that developed on Rapa Nui, famous for monumental moai statues and sophisticated maritime settlement traditions|Culture|Polynesian Culture
Rapa Nui|1200|2026|-27.1127|-109.3497|Remote Polynesian island settlement associated with the Rapa Nui people and renowned for its monumental moai statues|Place|Cultural Landscape
Qhapaq Ñan|1400|1533|-13.5167|-71.9781|Extensive Inca road network connecting administrative centers, settlements, agricultural regions, and military routes across the Andes; one of the largest pre-Columbian transportation systems in the Americas|Trade Network|Road Network
Holy Roman Empire|962|1806|50.1109|8.6821|Long-lasting political entity in Central Europe encompassing numerous kingdoms, duchies, principalities, free cities, and ecclesiastical territories; closely associated with German-speaking Central Europe|Polity|Empire
Martin Luther|1483|1546|51.3400|12.3747|German theologian whose writings and reform movement helped initiate the Protestant Reformation in Europe|Person|Religious Reformer
Protestant Reformation|1517|1648|51.3400|12.3747|Religious reform movement that transformed Western Christianity and European politics, beginning with Martin Luther's challenge to Catholic Church practices|Movement|Religion
Habsburg Monarchy|1282|1918|48.2082|16.3738|Dynastic realm centered in Austria whose rulers became major political powers in Central Europe and later controlled a vast multinational empire|Polity|Dynasty
Vienna|1000|2026|48.2082|16.3738|Major Central European city that became the political and cultural center of the Habsburg monarchy and later the Austrian Empire|Place|Historical City
Old Swiss Confederacy|1291|1798|46.9480|7.4474|Confederation of alpine cantons that developed into the political foundation of modern Switzerland|Polity|Confederation
Finnish Iron Age Culture|500|1300|60.1699|24.9384|Archaeological cultures of the Finnish region during the Iron Age, characterized by agriculture, trade, metalworking, and interaction with Scandinavian, Baltic, and eastern networks|Culture|Archaeological Culture
Kingdom of Sweden|800|1809|59.3293|18.0686|Scandinavian kingdom whose political expansion incorporated Finland into the Swedish realm for several centuries|Polity|Kingdom
Grand Duchy of Finland|1809|1917|60.1699|24.9384|Autonomous grand duchy of the Russian Empire that formed the political framework preceding modern Finnish independence|Polity|Grand Duchy
Kalevala|1835|1849|60.1699|24.9384|Finnish national epic compiled by Elias Lönnrot from traditional oral poetry and folklore, becoming a major work of Finnish cultural identity|Text|Epic
Viking Age|793|1066|59.3293|18.0686|Period of Scandinavian maritime expansion, trade, settlement, exploration, and raiding across Europe and the North Atlantic, with connections extending to the British Isles, Eastern Europe, Byzantium, and beyond|Culture|Historical Period
Thracian Civilization|-1200|46|42.0000|25.0000|Ancient Indo-European peoples of southeastern Europe known for warrior traditions, metalworking, art, and interactions with Greek and Roman civilizations|Civilization|Thracian
Thracian Kingdom|470|-46|42.1354|24.7453|Major Thracian political entity centered in the Balkans and known for interactions and conflicts with Greek colonies, Macedon, and Rome|Polity|Kingdom
Gaul|-500|486|48.8566|2.3522|Historical region of Western Europe corresponding broadly to modern France, Belgium, Luxembourg, and parts of neighboring countries, inhabited by numerous Celtic and later Romanized peoples|Region|Celtic
Vercingetorix|-82|-46|45.7047|3.2266|Arvernian leader who united several Gallic tribes in a major revolt against Julius Caesar during the Gallic Wars|Person|Military Leader
Gallic Wars|-58|-50|46.2276|2.2137|Series of Roman military campaigns led by Julius Caesar that resulted in the conquest of Gaul and fundamentally changed the political landscape of Western Europe|Event|War
Battle of Alesia|-52|-52|47.5361|4.5000|Decisive battle of the Gallic Wars in which Julius Caesar defeated Vercingetorix and the forces defending the Gallic stronghold of Alesia|Event|Battle
Celtic Civilization|-800|400|48.0000|10.0000|Collection of related Iron Age peoples and cultures spread across much of Western and Central Europe, known for distinctive art, metalworking, languages, and social traditions|Culture|Celtic
Hastinapura|-600|-300|29.1600|78.0000|Ancient settlement in the Ganges-Yamuna region traditionally identified as the capital of the Kuru dynasty in the Mahabharata; archaeological remains attest to an ancient settlement at the site|Place|Archaeological Site
Kurukshetra|-600|2026|29.9695|76.8783|Ancient region in northern India and major Hindu pilgrimage center traditionally associated with the Mahabharata and the setting of the Kurukshetra war|Place|Religious Center
Dwarka|-500|2026|22.2442|68.9685|Ancient and modern coastal city in Gujarat and an important Hindu pilgrimage center; traditionally identified with the city of Dvaraka described in Krishna traditions, while the historical identification remains debated|Place|Religious Center
Ayodhya|-600|2026|26.7990|82.2040|Ancient city associated with the Kosala region and later an important Hindu religious center; traditionally identified with the birthplace of Rama in the Ramayana tradition|Place|Historical City
Malwa Culture|-1700|-1400|23.2599|77.4126|Chalcolithic archaeological culture of central India associated with farming communities, distinctive pottery, settlements, and early metalworking|Culture|Archaeological Culture
Maheshwar|-1500|2026|22.1750|75.5870|Ancient settlement on the Narmada River with important Chalcolithic archaeological remains and later significance as a historic and religious center|Place|Historical City
Kalidasa|375|450|23.1765|75.7885|One of the greatest Sanskrit poets and dramatists, traditionally associated with the Gupta period; works include Abhijnanashakuntalam, Meghaduta, Raghuvamsha, and Kumarasambhava|Person|Writer
Abhijnanashakuntalam|375|450|23.1765|75.7885|Classical Sanskrit drama attributed to Kalidasa, telling the story of Shakuntala and Dushyanta and regarded as one of the masterpieces of Sanskrit literature|Text|Drama
Meghaduta|375|450|23.1765|75.7885|Sanskrit lyric poem attributed to Kalidasa in which an exiled yaksha sends a message to his beloved through a passing cloud|Text|Poetry
Raghuvamsha|375|450|23.1765|75.7885|Sanskrit mahakavya attributed to Kalidasa describing the legendary lineage of the Raghu dynasty|Text|Epic Poetry
Kumarasambhava|375|450|23.1765|75.7885|Sanskrit epic poem traditionally attributed to Kalidasa describing the birth of Kumara and the union of Shiva and Parvati|Text|Epic Poetry
Roman Britain|-43|410|51.5074|-0.1278|Roman province established after the conquest of Britain, with roads, towns, forts, villas, and military frontiers transforming much of southern Britain|Polity|Province
Anglo-Saxon England|450|1066|51.5074|-0.1278|Period of English history following the Roman withdrawal, characterized by Anglo-Saxon kingdoms, migration, Christianization, and the eventual formation of a unified English kingdom|Polity|Kingdoms
Kingdom of England|927|1707|51.5074|-0.1278|Medieval and early modern kingdom that developed from the Anglo-Saxon kingdoms and became a major European political power|Polity|Kingdom
Norman Conquest|1066|1071|51.0660|-1.7970|Norman conquest of England following William the Conqueror's victory at the Battle of Hastings, transforming English political, social, and cultural institutions|Event|Conquest
William Shakespeare|1564|1616|52.1917|-1.7076|English playwright and poet whose works became foundational to English literature and global dramatic tradition|Person|Writer
Pictish Kingdoms|300|900|56.0000|-4.0000|Collection of northern British kingdoms associated with the Picts, known from archaeology, early medieval writings, and distinctive symbol stones|Polity|Kingdoms
Kingdom of Scotland|843|1707|55.9533|-3.1883|Independent kingdom that developed in northern Britain and maintained a distinct political and cultural tradition before joining with England in 1707|Polity|Kingdom
Robert Burns|1759|1796|55.4800|-4.6200|Scottish poet and lyricist whose works became central to Scottish literary and cultural identity|Person|Writer
Celtic Ireland|-500|500|53.3498|-6.2603|Iron Age and early historic cultural traditions of Ireland characterized by Celtic languages, tribal societies, distinctive art, mythology, and oral traditions|Culture|Celtic
Early Christian Ireland|400|800|53.3498|-6.2603|Period when Christianity became established in Ireland and monasteries became major centers of learning, manuscript production, art, and scholarship|Culture|Religious Culture
Saint Patrick|385|461|53.3498|-6.2603|Christian missionary traditionally credited with playing a major role in the Christianization of Ireland; associated with the development of early Irish Christianity|Person|Saint
Book of Kells|800|825|53.3498|-6.2603|Illuminated manuscript containing the four Gospels and regarded as a masterpiece of Insular art, associated with the monastic tradition of Ireland and Britain|Text|Manuscript
Stonehenge|-3000|-1600|51.1789|-1.8262|Monumental prehistoric stone circle in southern Britain constructed in multiple phases during the Neolithic and Bronze Age|Place|Monument
Ptolemy|100|170|30.0444|31.2357|Greco-Egyptian astronomer, mathematician, and geographer whose works including the Almagest and Geographia profoundly influenced astronomy and geographic knowledge for centuries|Person|Scientist
Galileo Galilei|1564|1642|43.7696|11.2558|Italian astronomer and physicist whose telescopic observations and advocacy of heliocentrism transformed early modern astronomy and helped establish modern scientific methods|Person|Scientist
Plato|-428|-348|37.9838|23.7275|Ancient Greek philosopher and student of Socrates whose dialogues and Academy profoundly influenced Western philosophy, political thought, and education|Person|Philosopher
Socrates|-470|-399|37.9838|23.7275|Ancient Greek philosopher whose method of questioning and examination became foundational to Western philosophical traditions; known primarily through accounts by his students and contemporaries|Person|Philosopher
Almagest|150|150|30.0444|31.2357|Major astronomical treatise by Ptolemy presenting a mathematical model of the heavens that dominated astronomy for many centuries|Text|Science
Geographia|150|150|30.0444|31.2357|Geographical work attributed to Ptolemy that compiled coordinates and geographic knowledge of the known world and influenced mapmaking for centuries|Text|Geography
Republic|-380|-370|37.9838|23.7275|Philosophical dialogue attributed to Plato exploring justice, politics, education, knowledge, and the ideal state|Text|Philosophy
Sidereus Nuncius|1610|1610|43.7696|11.2558|Galileo's astronomical publication describing telescopic observations including the moons of Jupiter, lunar surface features, and numerous stars, contributing to the transformation of early modern astronomy|Text|Science
Isaac Newton|1643|1727|52.4553|-0.9426|English mathematician, physicist, astronomer, and natural philosopher whose work on motion, gravity, optics, and mathematics profoundly shaped modern science|Person|Scientist
Philosophiæ Naturalis Principia Mathematica|1687|1687|52.2053|0.1218|Major scientific work by Isaac Newton establishing the laws of motion and universal gravitation and laying foundations for classical mechanics|Text|Science
Vesuvius Eruption of 79 CE|79|79|40.8214|14.4265|Major eruption of Mount Vesuvius that buried Pompeii, Herculaneum, and surrounding settlements under ash and pyroclastic material|Event|Natural Disaster
Thera Eruption|-1600|-1600|36.4040|25.3960|Massive volcanic eruption on the island of Thera, modern Santorini, that affected the Aegean region and is associated with major environmental and cultural disruption|Event|Natural Disaster
Antonine Plague|165|180|41.9028|12.4964|Major epidemic that spread through the Roman Empire during the reigns of Marcus Aurelius and Lucius Verus, causing substantial mortality and social disruption|Event|Epidemic
Plague of Justinian|541|549|41.0082|28.9784|Major pandemic that spread through the Byzantine Empire and the Mediterranean world during the reign of Emperor Justinian I|Event|Epidemic
Black Death|1347|1353|41.0082|28.9784|Pandemic that spread across Europe, Asia, and North Africa, causing catastrophic mortality and profound demographic and economic changes|Event|Epidemic
Antioch Earthquake|526|526|36.2021|36.1600|Major earthquake that devastated Antioch and surrounding regions of the Byzantine Near East and caused extensive loss of life|Event|Earthquake
Lisbon Earthquake|1755|1755|38.7223|-9.1393|Major earthquake followed by tsunami and fires that devastated Lisbon and surrounding areas and had profound effects on European intellectual and political thought|Event|Earthquake
Khmer Civilization|500|1500|13.4125|103.8670|Major Southeast Asian civilization centered in the Mekong region and associated with the development of powerful Khmer states, monumental architecture, Hinduism, and Buddhism|Civilization|Southeast Asian
Khmer Empire|802|1431|13.4125|103.8670|Powerful Southeast Asian empire centered at Angkor that controlled large parts of mainland Southeast Asia and became renowned for monumental architecture, irrigation, and urban development|Empire|Southeast Asian
Angkor|800|1431|13.4125|103.8670|Vast Khmer urban and religious complex that served as the political and cultural center of the Khmer Empire and contained monumental temples, reservoirs, roads, and settlements|Place|Archaeological Site
Angkor Wat|1113|1150|13.4125|103.8670|Massive temple complex commissioned during the reign of Suryavarman II and originally dedicated to Vishnu; one of the greatest architectural achievements of the Khmer civilization|Place|Monument
Jayavarman II|770|835|13.4125|103.8670|Founder of the Khmer Empire traditionally associated with the establishment of an independent Khmer kingdom and the political consolidation of territories in mainland Southeast Asia|Person|Ruler
Suryavarman II|1113|1150|13.4125|103.8670|Khmer ruler under whom Angkor Wat was constructed and the Khmer Empire reached significant territorial and political prominence|Person|Ruler
Jayavarman VII|1181|1218|13.4125|103.8670|Major Khmer ruler who expanded the empire and promoted Mahayana Buddhism, sponsoring extensive temple, road, hospital, and infrastructure construction|Person|Ruler
Angkor Thom|1181|1431|13.4450|103.8560|Fortified royal city established under Jayavarman VII that became one of the major political and religious centers of the Khmer Empire|Place|Historical City
Babylonian Exile|-586|-539|32.5364|44.4209|Period following the Babylonian conquest of Jerusalem in which many Judeans were deported to Babylon; the exile became a formative period in Jewish religious and cultural history|Event|Religious History
Second Temple Period|-516|70|31.7780|35.2354|Period of Jewish history beginning with the rebuilding of the Second Temple in Jerusalem and ending with its destruction by Rome in 70 CE|Period|Jewish History
Destruction of the Second Temple|70|70|31.7780|35.2354|Roman destruction of the Second Temple in Jerusalem during the First Jewish–Roman War, a major turning point in Jewish history|Event|War
Bar Kokhba Revolt|132|136|31.7683|35.2137|Major Jewish revolt against Roman rule in Judea led by Simon Bar Kokhba|Event|Rebellion
Maimonides|1138|1204|31.7683|35.2137|Jewish philosopher, physician, and legal scholar whose writings became foundational to medieval Jewish thought and law|Person|Philosopher
Hebrew Bible|-700|100|31.7683|35.2137|Collection of Jewish sacred texts forming the scriptural foundation of Judaism and containing diverse literary, historical, legal, prophetic, and poetic traditions|Text|Religious Text
Muhammad|570|632|21.4225|39.8262|Arab religious and political leader traditionally regarded as the prophet and founder of Islam; his preaching in Mecca and Medina established the foundations of the early Muslim community|Person|Religious Leader
Mecca|500|2026|21.4225|39.8262|Major Arabian city and Islamic holy site associated with the Kaaba and the birthplace of Muhammad|Place|Religious Center
Medina|622|2026|24.4672|39.6112|City in western Arabia where Muhammad established the early Muslim community after the Hijra and where the first Islamic polity developed|Place|Religious Center
Hijra|622|622|24.4672|39.6112|Migration of Muhammad and his followers from Mecca to Medina, marking the beginning of the Islamic calendar and the formation of the early Muslim community in Medina|Event|Religious History
Early Islamic Caliphate|632|661|24.4672|39.6112|Early Muslim political community that expanded rapidly across Arabia and into the Levant, Egypt, Persia, and surrounding regions after the death of Muhammad|Polity|Caliphate
Mount Mazama Eruption|-5700|-5700|42.9446|-122.1090|Catastrophic volcanic eruption that destroyed much of Mount Mazama and caused the summit to collapse, forming the Crater Lake caldera; volcanic ash and pumice were deposited across a vast area of the Pacific Northwest|Event|Natural Disaster
Crater Lake| -5700|2026|42.9446|-122.1090|Deep volcanic lake in Oregon occupying the caldera formed by the catastrophic eruption and collapse of Mount Mazama approximately 7,700 years ago|Place|Natural Feature
Rigveda|-1500|-1200|27.1767|78.0081|Oldest of the four Vedas and a foundational collection of Sanskrit hymns composed and transmitted orally during the early Vedic period|Text|Religious Text
Yajurveda|-1200|-800|27.1767|78.0081|Vedic collection containing ritual formulas and prose instructions used in the performance of Vedic sacrifices|Text|Religious Text
Samaveda|-1200|-800|27.1767|78.0081|Vedic collection of verses largely derived from the Rigveda and arranged for ritual chanting and musical recitation|Text|Religious Text
Atharvaveda|-1200|-800|27.1767|78.0081|Vedic collection containing hymns, prayers, spells, healing traditions, domestic rituals, and reflections on everyday life|Text|Religious Text
Vedic Cultural Region|-1500|-500|29.0000|77.0000|Region associated with the development and transmission of early Vedic traditions in northern South Asia|Region|Religious Culture
Great Pyramid of Giza|-2560|-2540|29.9792|31.1342|Great pyramid built as the monumental tomb of Pharaoh Khufu and the only one of the Seven Wonders of the Ancient World still substantially standing|Place|Monument
Hanging Gardens of Babylon|-600|-500|32.5420|44.4210|Legendary gardens traditionally attributed to Babylon and described in ancient accounts; their historical existence and exact location remain uncertain|Place|Monument
Statue of Zeus at Olympia|-435|-430|37.6383|21.6300|Colossal seated statue of Zeus created by the sculptor Phidias at the sanctuary of Olympia in Greece|Place|Monument
Temple of Artemis at Ephesus|-550|-356|37.9497|27.3639|Monumental temple dedicated to Artemis at Ephesus in Asia Minor and one of the most celebrated temples of the ancient Greek world|Place|Monument
Mausoleum at Halicarnassus|-353|-350|37.0379|27.4241|Monumental tomb built at Halicarnassus for Mausolus, ruler of Caria, and his wife Artemisia II|Place|Monument
Colossus of Rhodes|-292|-226|36.4510|28.2278|Colossal bronze statue dedicated to the sun god Helios at Rhodes, constructed after the city successfully resisted a siege|Place|Monument
Lighthouse of Alexandria|-300|1303|31.2001|29.9187|Ancient lighthouse constructed on Pharos Island to guide ships into Alexandria harbor and one of the tallest structures of the ancient world|Place|Monument
Leaning Tower of Pisa|1173|1372|43.7230|10.3966|Medieval bell tower of Pisa Cathedral whose foundation and subsequent construction caused the famous tilt; construction occurred in several stages over nearly two centuries|Place|Monument
Pisa|1000|2026|43.7228|10.4017|Historic Tuscan city that became an important medieval maritime republic and later a center of education and science, associated with Galileo Galilei and the University of Pisa|Place|Historical City
Galileo's Pisa Experiments|1589|1592|43.7228|10.4017|Period associated with Galileo's early teaching and investigations in Pisa, where he developed ideas that contributed to the study of motion and mechanics|Event|Science
Charles Darwin|1809|1882|50.0880|-5.2430|English naturalist whose theory of evolution by natural selection transformed biology and the scientific understanding of the diversity of life|Person|Scientist
On the Origin of Species|1859|1859|51.5074|-0.1278|Charles Darwin's landmark work presenting evidence for evolution and proposing natural selection as a major mechanism of evolutionary change|Text|Science
Gregor Mendel|1822|1884|49.1951|16.6068|Augustinian friar and scientist whose experiments with pea plants established fundamental principles of heredity and helped lay the foundation for modern genetics|Person|Scientist
Experiments on Plant Hybridization|1865|1866|49.1951|16.6068|Gregor Mendel's experimental work on pea plants identifying predictable patterns of inheritance that became foundational to genetics|Text|Science
Vatican City|1929|2026|41.9029|12.4534|Sovereign city-state established by the Lateran Treaty in 1929 as the territorial seat of the Holy See and the smallest sovereign state in the world|Polity|City-State
Papacy|100|2026|41.9029|12.4534|Institution of the bishop of Rome that developed into the central leadership of the Roman Catholic Church and played a major role in European religious and political history|Institution|Christianity
St. Peter's Basilica|1506|1626|41.9022|12.4536|Major Renaissance and Baroque basilica constructed over the traditional site of Saint Peter's tomb and one of the most important architectural and religious landmarks of Christianity|Place|Monument
Vatican Museums|1506|2026|41.9065|12.4536|Major collection of art and antiquities assembled by the papacy, containing important works from classical antiquity, Renaissance art, and later periods|Institution|Museum
Indian Ocean Tsunami|2004|2004|3.3167|95.6167|Massive undersea earthquake off the coast of Sumatra generated a tsunami that devastated coastal communities around the Indian Ocean and caused catastrophic loss of life across multiple countries|Event|Natural Disaster
Tohoku Tsunami|2011|2011|38.3228|142.3690|Tsunami generated by the magnitude 9.0 Tohoku earthquake that devastated coastal northeastern Japan and contributed to the Fukushima nuclear disaster|Event|Natural Disaster
Lisbon Tsunami|1755|1755|36.5000|-10.0000|Tsunami generated by the 1755 Lisbon earthquake that struck the coasts of Portugal, Spain, Morocco, and parts of the Atlantic|Event|Natural Disaster
Storegga Tsunami|-6200|-6200|62.0000|5.0000|Massive prehistoric tsunami generated by submarine landslides off the coast of Norway that affected coastlines across the North Atlantic and contributed to major environmental changes in prehistoric northern Europe|Event|Natural Disaster
COVID-19 Pandemic|2019|2023|30.0000|114.0000|Global pandemic caused by the SARS-CoV-2 virus, first identified in Wuhan, China, leading to widespread illness, mortality, travel restrictions, lockdowns, economic disruption, and major changes in public health practices|Event|Epidemic
